date	,l_ipn,	r_asn,	f
7/1/2006,	0,	701,	1
7/1/2006,	0,	714,	1
7/1/2006,	0,	1239,	1
7/1/2006,	0,	1680,	1
7/1/2006,	0,	2514,	1
7/1/2006,	0,	3320,	1
7/1/2006,	0,	3561,	13
7/1/2006,	0,	4134,	3
7/1/2006,	0,	5617,	2
7/1/2006,	0,	6478,	1
7/1/2006,	0,	6713,	1
7/1/2006,	0,	7132,	1
7/1/2006,	0,	9105,	1
7/1/2006,	0,	10738,	1
7/1/2006,	0,	10994,	1
7/1/2006,	0,	12334,	1
7/1/2006,	0,	12524,	1
7/1/2006,	0,	12542,	1
7/1/2006,	0,	13343,	1
7/1/2006,	0,	13446,	1
7/1/2006,	0,	13462,	20
7/1/2006,	0,	13867,	1
7/1/2006,	0,	13989,	1
7/1/2006,	0,	16755,	1
7/1/2006,	0,	17228,	1
7/1/2006,	0,	19262,	1
7/1/2006,	0,	19444,	1
7/1/2006,	0,	20258,	1
7/1/2006,	0,	20299,	1
